Well,OD,Time_h,Type,Concentration,Sample,Antibiotic,Lineage,Experiment,Plate,blank_mean,OD_blanked,sample_group,replicate
H10,0.092,16,sample,8,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,M-lines,3
H11,0.095,16,sample,16,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.004666666666666666,M-lines,3
H12,0.091,16,sample,32,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,3
A1,0.088,24,blank,NA,NA,MRP,evolved,Exp1,Plate1,0.089,-0.0010000000000000009,NA,NA
A2,0.091,24,blank,NA,NA,MRP,evolved,Exp1,Plate1,0.089,0.0020000000000000018,NA,NA
A3,0.088,24,blank,NA,NA,MRP,evolved,Exp1,Plate1,0.089,-0.0010000000000000009,NA,NA
A4,0.091,24,empty,NA,NA,MRP,evolved,Exp1,Plate1,0.089,0.0020000000000000018,NA,NA
A5,0.089,24,empty,NA,NA,MRP,evolved,Exp1,Plate1,0.089,0,NA,NA
A6,0.421,24,sample,0,M1,MRP,evolved,Exp1,Plate1,0.089,0.33199999999999996,M-lines,1
A7,0.393,24,sample,0,M1,MRP,evolved,Exp1,Plate1,0.089,0.30400000000000005,M-lines,2
A8,0.399,24,sample,0,M1,MRP,evolved,Exp1,Plate1,0.089,0.31000000000000005,M-lines,3
A9,0.092,24,empty,NA,NA,MRP,evolved,Exp1,Plate1,0.089,0.0030000000000000027,NA,NA
A10,0.396,24,sample,0,M2,MRP,evolved,Exp1,Plate1,0.089,0.30700000000000005,M-lines,1
A11,0.387,24,sample,0,M2,MRP,evolved,Exp1,Plate1,0.089,0.29800000000000004,M-lines,2
A12,0.374,24,sample,0,M2,MRP,evolved,Exp1,Plate1,0.089,0.28500000000000003,M-lines,3
B1,0.486,24,sample,0.002,NA1,MRP,evolved,Exp1,Plate1,0.089,0.397,N-lines,1
B2,0.576,24,sample,0.006,NA1,MRP,evolved,Exp1,Plate1,0.089,0.487,N-lines,1
B3,0.264,24,sample,0.016,NA1,MRP,evolved,Exp1,Plate1,0.089,0.17500000000000002,N-lines,1
B4,0.1,24,sample,0.047,NA1,MRP,evolved,Exp1,Plate1,0.089,0.01100000000000001,N-lines,1
B5,0.099,24,sample,0.125,NA1,MRP,evolved,Exp1,Plate1,0.089,0.010000000000000009,N-lines,1
B6,0.101,24,sample,0.38,NA1,MRP,evolved,Exp1,Plate1,0.089,0.01200000000000001,N-lines,1
B7,0.092,24,sample,1,NA1,MRP,evolved,Exp1,Plate1,0.089,0.0030000000000000027,N-lines,1
B8,0.09,24,sample,2,NA1,MRP,evolved,Exp1,Plate1,0.089,0.0010000000000000009,N-lines,1
B9,0.092,24,sample,4,NA1,MRP,evolved,Exp1,Plate1,0.089,0.0030000000000000027,N-lines,1
B10,0.09,24,sample,8,NA1,MRP,evolved,Exp1,Plate1,0.089,0.0010000000000000009,N-lines,1
B11,0.09,24,sample,16,NA1,MRP,evolved,Exp1,Plate1,0.089,0.0010000000000000009,N-lines,1
B12,0.09,24,sample,32,NA1,MRP,evolved,Exp1,Plate1,0.089,0.0010000000000000009,N-lines,1
C1,0.441,24,sample,0.002,M1,MRP,evolved,Exp1,Plate1,0.089,0.352,M-lines,1
C2,0.548,24,sample,0.006,M1,MRP,evolved,Exp1,Plate1,0.089,0.4590000000000001,M-lines,1
C3,0.607,24,sample,0.016,M1,MRP,evolved,Exp1,Plate1,0.089,0.518,M-lines,1
C4,0.482,24,sample,0.047,M1,MRP,evolved,Exp1,Plate1,0.089,0.393,M-lines,1
